code,course_title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335,,,,,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,529,,,,,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335,,,,,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,,#,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342,,,,,,
TR597,Mathematics/Modern Language,,,566,,*,,,,
TR598,Mathematics/Music,,,566,,*,,#,,
TR599,Mathematics/Philosophy,,,566,,*,,,,
TR629,Music/Philosophy,,,499,,,,#,,
TR635,Music/Drama Studies,,,#473,,,,#,,
TR636,Music/Modern Language,,,388,,,,#,,
TR638,Music/Religion,,,388,,,,#,,
TR639,Philosophy/Modern Language,,,499,,,,,,
TR662,Philosophy/Sociology,,,499,,,,,,
TR663,Religion/Classical Civilisation,,,342,,,,,,
TR664,Religion/English Literature,,,498,,*,,,,
TR665,Religion/History of Art and Architecture,,,342,,,,,,
TR666,Religion/Modern Language,,,,,,,,,
TR667,French/Modern Language,,,403,,,,,,
TR668,German/Modern Language,,,389,,,,,,
TR669,Irish/Modern Language,,,368,,,,,,
TR670,Italian/Modern Language,,,381,,,,,,
TR671,Russian/Modern Language,,,332,,,,,,
TR672,Spanish/Modern Language,,,336,,,,,,
TR755,Sociology/Drama Studies,,,#498,,,,#,,
TR756,Sociology/Modern Language,,,498,495,,,,,
TU803,Electronic Engineering,,,243,243,,,,,
TU806,Sustainable Energy Engineering,,,262,,,,,,
TU808,Engineering Software,,,260,260,,,,,
TU809,Mechanical Engineering,,,235,,,,,,
TU813,Automation Engineering,,,218,218,,,,,
TU873,Industrial Mathematics,,,250,250,,,,,
TU901,Business,,,270,,,,,,
TU908,Management,,,262,253,,,,,
TU909,Accounting and Finance,,,285,,,,,,
TU911,Accounting and Finance,,,209,192,,,,,
TU913,Business and Information Technology,,,252,,,,,,
TU915,International Business,,,252,,,,,,
TU916,International Business,,,235,235,,,,,
TU923,Marketing Management,,,228,276,,,,,
TU966,Languages and English Studies,,,366,,,,,,
TU971,Contemporary Visual Culture,,,290,,,,,,
TU972,Creative and Cultural Industries,,,281,,,,,,
TU986,Print Media Technology and Management,,,289,,,,,,
TU993,Early Childhood Care and Education,,,270,,,,,,
TU994,Early Childhood Care and Education,,,321,251,,,,,
WD149,Early Childhood Studies,,,271,,,,,,
AL853,Accounting and Law ,,,,,,,,,
CW178,Sport Science (options) ,,,,,,,,,
CK116,Sports Studies and Physical Education ,,,,,,,,,
CK502,Food Marketing and Entrepreneurship ,,,,,,,,,
CK506,International Development and Food Policy ,,,,,,,,,
DC005,Education - Primary Teaching - Irish Sign Language ,,,,,,,,,
DC167,Physics with Astronomy ,,,,,,,,,
DC171,Applied Physics ,,,,,,,,,
DC173,Physics with Biomedical Sciences ,,,,,,,,,
DT001,Product Design ,,,,,,,,,
DT028,Transport Operations and Technology ,,,,,,,,,
DT035,Electrical Services and Energy Management ,,,,,,,,,
DT066,Engineering (General Entry) ,,,,,,,,,
DT101,Architecture (test and interview) ,,,,,,,,,
DT106,Planning and Environmental Management ,,,,,,,,,
DT110,Property Economics (Valuation Surveying) ,,,,,,,,,
DT111,Quantity Surveying and Construction Economics ,,,,,,,,,
DT112,Geographic Science ,,,,,,,,,
DT117,Construction Management ,,,,,,,,,
DT175,Architectural Technology ,,,,,,,,,
DT201,Science (General Entry) ,,,,,,,,,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical) ,,,,,,,,,
DT204,Biomedical Science ,,,,,,,,,
DT205,Mathematical Sciences ,,,,,,,,,
DT206,Biomedical and Molecular Diagnostics ,,,,,,,,,
DT211,Computer Science (Infrastructure) ,,,,,,,,,
DT220,Industrial Mathematics ,,,,,,,,,
DT221,Physics with Energy and Environment ,,,,,,,,,
DT222,Physics Technology ,,,,,,,,,
DT223,Human Nutrition and Dietetics ,,,,,,,,,
DT224,Optometry ,,,,,,,,,
DT225,Public Health Nutrition ,,,,,,,,,
DT227,Science with Nanotechnology ,,,,,,,,,
DT228,Computer Science ,,,,,,,,,
DT229,Clinical Measurement Science ,,,,,,,,,
DT235,Physics with Medical Physics and Bioengineering ,,,,,,,,,
DT282,Computer Science (International) ,,,,,,,,,
DT299,Chemical Sciences with Medicinal Chemistry ,,,,,,,,,
DT302,Business Analytics ,,,,,,,,,
DT304,E-Commerce in Retailing ,,,,,,,,,
DT321,Business and Law ,,,,,,,,,
DT341,Marketing ,,,,,,,,,
DT343,Retail and Services Management ,,,,,,,,,
DT354,Business Computing ,,,,,,,,,
DT358,Logistics and Supply Chain Management ,,,,,,,,,
DT365,Business and Management ,,,,,,,,,
DT366,Accounting and Finance ,,,,,,,,,
DT398,Human Resource Management ,,,,,,,,,
DT399,Economics and Finance ,,,,,,,,,
DT401,International Hospitality Management ,,,,,,,,,
DT405,Culinary Science ,,,,,,,,,
DT407,Culinary Arts ,,,,,,,,,
DT412,Tourism Marketing ,,,,,,,,,
DT413,Event Management ,,,,,,,,,
DT416,Culinary Entrepreneurship ,,,,,,,,,
DT420,Nutraceuticals in Health and Nutrition ,,,,,,,,,
DT421,Food Innovation ,,,,,,,,,
DT422,Pharmaceutical Healthcare ,,,,,,,,,
DT491,Environmental Health ,,,,,,,,,
DT501,Music ,,,,,,,,,
DT504,Film and Broadcasting ,,,,,,,,,
DT506,Commercial Modern Music ,,,,,,,,,
DT508,Game Design ,,,,,,,,,
DT517,Languages and English Studies ,,,,,,,,,
DT518,Languages and International Tourism ,,,,,,,,,
DT529,Drama (Performance) ,,,,,,,,,
DT532,Law (LL.B.) ,,,,,,,,,
DT533,Contemporary Visual Culture ,,,,,,,,,
DT544,Interior Design ,,,,,,,,,
DT545,Design - Visual Communication ,,,,,,,,,
DT546,Fine Art ,,,,,,,,,
DT555,International Business and Languages ,,,,,,,,,
DT559,Photography ,,,,,,,,,
DT571,Social Care ,,,,,,,,,
DT572,Early Childhood Education ,,,,,,,,,
DT582,Journalism ,,,,,,,,,
DT596,Print Media Technology and Management ,,,,,,,,,
DT597,Creative and Cultural Industries ,,,,,,,,,
DL835,Creative Media Technologies ,,,,,,,,,
GC405,International Hospitality Management (Dublin) ,,,,,,,,,
ID003,Business Studies with Chinese,,,,,,,,,
BN101,Business ,,,,,,,,,
BN103,Business and Information Technology ,,,,,,,,,
BN104,Computing (Information Technology) ,,,,,,,,,
BN107,Applied Social Studies in Social Care ,,,,,,,,,
BN108,Engineering (Common Entry with Award options) ,,,,,,,,,
BN109,Business (Common Entry with Award options) ,,,,,,,,,
BN110,International Business ,,,,,,,,,
BN111,Sports Management and Coaching ,,,,,,,,,
BN112,Creative Digital Media ,,,,,,,,,
BN113,Horticulture ,,,,,,,,,
BN114,Accounting and Finance ,,,,,,,,,
BN115,Community and Youth Development ,,,,,,,,,
BN117,Computer Engineering in Mobile Systems ,,,,,,,,,
BN118,Early Childhood Care and Education ,,,,,,,,,
BN119,Digital Marketing ,,,,,,,,,
BN120,Digital Forensics and Cyber Security ,,,,,,,,,
BN121,Mechatronic Engineering ,,,,,,,,,
BN123,"Design,Technology and Innovation ",,,,,,,,,
TA022,Creative Digital Media ,,,,,,,,,
TA023,Advertising and Marketing Communications ,,,,,,,,,
TA024,Early Childhood Care and Education ,,,,,,,,,
TA025,Social Care Practice ,,,,,,,,,
TA026,International Hospitality and Tourism Management ,,,,,,,,,
TA027,Botanical Cuisine ,,,,,,,,,
TA028,Digital Marketing Technologies ,,,,,,,,,
TA121,Accounting and Finance ,,,,,,,,,
TA122,Management ,,,,,,,,,
TA123,Marketing Management ,,,,,,,,,
TA125,International Business ,,,,,,,,,
TA221,Electronic Engineering ,,,,,,,,,
TA222,Mechanical Engineering ,,,,,,,,,
TA223,Sustainable Energy Engineering ,,,,,,,,,
TA224,Biomedical Design ,,,,,,,,,
TA225,Automation Engineering ,,,,,,,,,
TA226,Engineering Software ,,,,,,,,,
TA321,Pharmaceutical Science ,,,,,,,,,
TA322,Computing ,,,,,,,,,
TA323,Computing with IT Management ,,,,,,,,,
TA326,DNA and Forensic Analysis ,,,,,,,,,
TA327,Sports Science and Health ,,,,,,,,,
TA328,Computing with Language (French/German/Spanish) ,,,,,,,,,
TA329,Computing with Data Analytics ,,,,,,,,,
NC025,Data Science ,,,,,,,,,
GA385,Retail Management ,,,,,,,,,
LY218,Business - with Spanish/Irish options ,,,,,,,,,
CI101,Counselling and Psychotherapy (Limerick) ,,,,,,,,,
LC411,Marketing and Management (Thurles) ,,,,,,,,,
SG149,Business in Finance and Investment ,,,,,,,,,
SG441,Environmental Science ,,,,,,,,,
SG446,Applied Archaeology ,,,,,,,,,
TL803,Music Technology ,,,,,,,,,
TL812,Computing with Digital Media ,,,,,,,,,
WD148,Tourism Marketing ,,,,,,,,,
